StudentNumber,Gender,GradeLevel,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,RiskRating
776,Male,2,3,6,4,7,3,7,5,3,7,4,6,4,7,5,4,5,4,6,3,5,5,4,7,5,6,2,7,6,Low
777,Male,2,3,6,4,5,2,7,4,3,6,5,5,3,3,6,3,7,2,7,3,7,5,4,7,5,4,2,7,6,Low
778,Male,2,4,6,5,6,1,5,2,3,7,3,6,2,5,7,3,5,4,6,3,7,6,2,6,3,6,2,6,2,Low
779,Female,2,3,6,5,4,3,7,4,5,6,3,5,2,6,5,4,5,3,4,2,5,6,3,6,3,5,2,7,5,Low
780,Female,2,3,7,5,6,2,6,3,3,6,4,7,3,6,6,5,5,2,6,3,4,4,5,6,5,6,1,7,4,Low
781,Female,2,5,4,4,4,1,6,4,3,6,4,3,1,6,6,3,5,5,5,1,7,7,5,5,2,4,3,4,7,Low
782,Female,2,4,3,5,7,2,4,4,4,7,3,6,3,6,4,3,6,5,6,3,5,6,3,6,4,5,3,7,4,Low
783,Male,2,4,7,4,6,2,7,4,2,7,3,7,1,6,5,4,6,5,5,3,5,5,4,5,5,6,2,6,5,Low
784,Female,2,5,7,4,6,3,7,4,5,6,4,5,2,7,7,4,4,4,7,1,6,5,3,5,2,5,2,4,7,Low
785,Female,2,4,4,2,6,1,6,5,2,5,2,5,1,6,4,1,5,2,4,3,6,4,3,3,2,5,1,5,6,Low
786,Female,2,2,6,4,2,2,7,2,2,7,4,4,6,4,6,2,2,2,4,6,6,2,4,2,2,6,2,4,2,Low
787,Female,2,4,7,3,6,2,7,2,5,7,5,6,3,5,6,7,5,5,7,3,6,6,5,7,4,5,2,6,5,Low
788,Male,2,3,6,4,5,1,6,5,3,7,5,5,2,5,4,5,5,3,5,2,6,5,4,6,5,6,1,6,7,Low
789,Female,2,4,4,4,5,1,4,2,3,4,5,5,1,6,6,3,2,3,6,1,7,6,5,5,3,6,3,6,6,Low
790,Female,2,3,4,4,3,2,5,5,3,6,3,6,1,7,6,3,5,3,5,3,5,6,3,7,4,7,1,6,3,Low
791,Male,2,3,6,4,5,3,7,4,4,7,4,7,3,7,7,3,6,4,5,3,7,6,3,5,1,6,3,3,6,Low
792,Male,2,2,6,4,2,6,7,6,6,3,2,4,2,2,2,6,4,2,2,2,2,2,4,6,2,6,2,2,2,Low
793,Female,2,3,5,4,5,2,5,5,3,5,3,7,1,7,7,3,6,4,6,3,5,7,4,6,4,6,3,5,7,Low
794,Male,2,4,7,2,6,1,7,4,5,5,2,7,1,5,5,4,7,5,7,1,6,6,3,7,4,6,1,5,6,Low
795,Female,2,4,7,4,7,1,7,3,2,7,4,7,1,5,7,4,6,2,7,3,7,2,3,7,4,4,2,5,6,Low
796,Female,2,2,5,4,5,1,7,5,6,6,4,7,3,7,5,3,5,4,7,2,5,5,2,6,5,6,1,6,4,Low
797,Male,2,4,7,5,7,3,6,4,5,6,2,7,3,6,7,4,6,7,6,1,5,5,2,1,4,7,4,5,7,Low
798,Female,2,4,4,3,5,2,4,4,3,7,3,5,1,7,6,2,5,3,5,1,5,5,4,6,4,6,2,6,6,Low
799,Female,2,5,6,7,5,2,6,3,4,7,4,6,1,6,4,4,6,5,6,1,7,6,3,5,5,7,1,4,6,Low
800,Male,2,3,7,5,5,1,5,4,5,7,4,6,2,6,6,3,6,3,4,2,7,6,5,7,4,4,2,5,6,Low
801,Female,2,3,7,3,6,2,4,2,3,7,5,7,1,7,7,4,6,4,6,3,6,5,2,7,4,7,1,6,5,Low
802,Female,2,4,7,4,7,5,6,4,4,7,5,7,3,5,7,5,7,4,7,4,5,7,4,6,6,7,3,7,6,Low
803,Male,2,5,6,4,5,2,7,4,3,6,4,5,2,6,4,3,6,4,5,3,5,6,6,6,3,5,3,4,4,Low
804,Male,2,3,6,4,7,1,7,5,4,5,4,6,4,4,7,4,7,5,5,2,5,7,2,6,4,5,6,5,5,Low
805,Female,2,4,5,4,7,2,6,5,5,6,2,6,2,5,5,4,7,5,7,2,7,6,3,7,4,7,5,7,6,Low
806,Male,2,3,5,5,6,2,5,4,4,3,5,5,1,7,6,3,6,4,6,2,7,6,5,7,3,7,2,6,7,Low
807,Female,2,3,5,3,5,2,7,5,6,6,5,7,3,6,7,4,6,3,5,1,7,7,4,7,2,7,1,5,5,Low
808,Female,2,5,5,3,6,2,5,4,3,4,4,7,2,5,7,3,4,4,6,1,7,6,4,5,5,6,5,6,6,Low
809,Female,2,5,4,1,7,2,6,4,2,7,3,6,2,7,6,4,5,3,7,3,6,6,4,5,4,4,1,6,4,Low
810,Male,2,3,6,5,7,2,7,4,4,7,5,5,3,7,7,3,7,5,5,2,5,6,6,5,4,6,2,6,6,Low
811,Male,2,4,5,6,6,4,5,7,6,6,4,5,1,6,7,5,6,6,7,2,5,5,3,7,3,6,1,5,4,Low
812,Male,2,2,5,2,5,1,5,3,2,4,3,5,2,4,6,3,5,2,5,1,5,4,4,4,5,6,2,4,5,Low
813,Male,2,7,7,5,7,2,7,5,6,7,5,6,3,5,6,6,7,7,7,4,6,7,6,7,5,5,4,7,7,Low
814,Male,2,6,7,5,7,3,7,7,4,7,5,6,3,7,6,4,6,5,7,5,6,7,5,7,4,7,2,7,7,Low
815,Male,2,4,5,5,6,3,6,3,2,5,4,7,3,7,6,3,6,4,6,2,4,6,4,6,5,6,3,5,4,Low
816,Male,2,4,6,2,5,4,7,3,3,6,4,6,1,6,4,3,7,3,5,1,3,6,5,5,5,6,3,5,7,Low
817,Male,2,5,7,3,7,2,7,4,3,7,6,5,2,6,5,5,6,4,6,2,6,5,5,5,6,6,1,6,5,Low
818,Female,2,1,4,5,7,2,6,4,2,7,5,4,2,5,6,3,6,4,6,2,4,4,4,5,4,5,1,6,7,Low
819,Male,2,4,5,1,7,4,5,4,4,6,2,5,1,5,5,5,5,3,5,3,7,7,3,5,5,7,2,5,5,Low
820,Male,2,1,5,3,4,3,5,4,5,6,4,7,2,6,5,3,5,3,5,3,7,6,3,6,6,7,1,5,5,Low
821,Female,2,2,5,4,7,2,5,6,4,6,2,4,5,7,6,6,5,3,7,2,6,7,3,6,5,5,3,5,6,Low
822,Male,2,4,2,2,4,6,4,4,4,6,4,5,2,6,4,2,4,6,4,6,6,6,4,4,2,6,4,2,6,Low
823,Female,2,5,6,5,6,4,7,5,4,7,7,5,2,7,7,6,7,6,7,4,7,7,4,7,6,6,3,7,6,Low
824,Female,2,4,7,5,5,4,6,4,2,6,5,6,3,6,6,5,7,3,7,3,5,5,2,7,4,7,2,5,7,Low
825,Male,2,4,5,3,4,3,6,4,5,7,4,5,1,6,7,4,7,3,7,2,6,5,4,7,4,5,3,5,5,Low
826,Female,2,4,4,3,7,2,7,5,5,7,4,6,2,6,3,3,6,4,4,3,4,6,5,6,3,5,2,5,6,Low
827,Female,2,5,7,7,7,3,7,5,5,7,4,7,4,6,7,6,7,6,7,4,7,7,4,7,5,7,4,7,7,Low
828,Female,2,3,6,5,5,2,7,4,6,6,4,6,1,7,7,2,5,3,6,4,6,6,2,6,2,6,3,5,7,Low
829,Female,2,4,6,4,6,3,6,5,3,6,3,6,4,5,6,3,6,4,5,2,6,7,3,7,2,7,2,5,5,Low
830,Male,2,4,7,4,7,1,7,4,4,7,5,5,1,7,6,4,7,5,6,1,6,6,3,4,1,6,3,5,6,Low
831,Male,2,4,6,4,5,1,5,3,2,5,2,4,2,5,5,1,4,4,5,1,5,3,3,4,4,6,2,5,5,Low
832,Female,2,4,5,3,5,4,5,3,2,7,4,5,3,7,4,4,5,2,6,1,6,6,2,7,4,5,3,5,5,Low
833,Female,2,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4,6,4,4,3,6,6,4,5,4,4,2,4,5,Low
834,Female,2,6,7,5,7,4,6,4,5,7,4,7,2,6,6,4,7,6,7,4,7,1,5,7,4,5,2,7,7,Low
835,Male,2,2,6,5,4,3,7,3,4,7,5,6,2,7,6,4,7,4,6,2,3,3,4,3,5,6,3,7,5,Low
836,Female,2,6,7,4,7,4,7,1,3,7,4,5,1,4,6,5,4,3,6,1,6,7,4,6,4,6,1,6,6,Low
837,Female,2,5,7,5,5,1,7,3,5,7,4,4,2,5,6,6,6,2,6,2,7,5,4,6,5,6,2,7,6,Low
838,Female,2,3,7,2,4,3,6,4,4,6,3,7,1,5,5,4,7,3,5,3,4,7,4,4,4,7,2,6,6,Low
839,Male,2,4,7,4,5,2,6,4,4,7,6,7,2,6,7,4,5,3,7,2,7,7,5,7,4,4,5,7,5,Low
840,Male,2,3,7,3,5,3,7,3,2,7,3,4,1,5,5,4,5,4,7,3,7,6,5,6,4,7,3,5,5,Low
841,Female,2,4,7,4,5,2,7,4,2,7,6,7,1,6,6,4,6,4,7,2,2,7,4,5,2,6,3,7,4,Low
842,Male,2,4,7,5,7,1,4,5,4,5,4,6,2,6,6,3,6,4,7,4,5,4,5,5,5,7,3,6,7,Low
843,Male,2,3,7,4,4,1,6,4,5,7,4,6,2,5,7,4,6,3,7,1,6,6,4,5,3,4,4,7,4,Low
844,Male,2,3,6,5,5,3,7,2,3,6,4,4,2,5,5,4,7,3,6,3,5,5,4,6,3,5,2,5,5,Low
845,Female,2,3,4,3,4,3,7,4,6,6,4,5,1,5,5,3,7,3,5,3,3,6,5,6,4,6,1,5,7,Low
846,Male,2,3,5,3,6,3,4,5,3,5,4,7,3,7,4,3,7,4,6,2,4,7,2,6,5,6,2,7,6,Low
847,Female,2,5,7,3,6,3,7,4,4,6,5,5,4,6,5,3,6,3,7,2,5,6,5,6,3,7,2,5,7,Low
848,Male,2,4,3,1,5,2,4,3,3,6,3,6,1,5,6,5,6,2,2,3,5,6,3,6,5,3,3,7,5,Low
849,Female,2,4,7,4,6,2,7,2,5,7,3,6,2,6,7,4,4,3,5,1,6,7,3,6,5,7,1,6,5,Low
850,Male,2,5,5,3,6,3,7,3,4,6,4,5,1,3,6,5,7,1,5,1,5,5,5,7,3,5,1,6,7,Low
851,Male,2,4,5,4,6,3,6,3,4,2,5,7,1,5,4,4,5,5,5,1,5,6,6,7,4,4,4,5,5,Low
852,Female,2,3,4,4,6,2,7,4,4,6,4,6,1,4,5,4,5,3,6,3,4,5,2,4,4,6,3,6,6,Low
853,Female,2,3,4,3,7,2,5,5,2,6,5,5,2,5,6,5,5,5,5,2,6,7,6,5,3,5,1,6,6,Low
854,Male,2,4,5,4,5,2,6,4,4,6,3,7,2,7,7,2,5,5,6,2,4,5,3,5,3,6,2,3,4,Low
855,Female,2,3,6,4,6,2,5,5,3,7,3,6,2,6,6,4,5,5,5,2,6,4,4,6,3,6,2,7,6,Low
856,Male,2,4,7,4,6,1,6,4,5,6,5,7,3,7,6,2,4,4,7,1,7,5,5,4,4,7,2,4,6,Low
857,Female,2,5,7,2,7,3,7,6,4,6,5,5,3,5,4,2,6,3,5,1,6,3,2,6,2,6,2,5,7,Low
858,Male,2,4,4,4,4,2,4,4,4,4,4,6,1,5,4,4,6,5,4,4,4,4,3,4,4,4,4,4,4,Low
859,Male,2,3,7,3,6,3,7,3,2,6,4,6,1,6,5,3,6,4,4,2,6,7,6,6,3,4,2,4,7,Low
860,Male,2,4,6,3,7,1,6,4,4,7,3,6,2,5,6,2,5,4,6,1,6,6,5,6,4,6,1,6,6,Low
861,Female,2,2,5,5,6,3,7,7,3,5,4,7,1,6,6,2,5,5,3,1,5,7,4,6,3,6,2,6,7,Low
862,Male,2,5,6,4,6,2,7,5,3,7,2,6,2,7,6,5,6,5,6,3,7,5,4,4,3,6,4,5,5,Low
863,Male,2,6,7,7,6,4,6,6,4,7,6,6,3,7,7,6,7,6,5,4,7,7,2,6,7,7,2,7,7,Low
864,Female,2,4,6,4,7,1,7,4,5,7,4,6,2,6,7,7,6,3,4,3,7,5,4,7,5,7,2,7,6,Low
865,Male,2,6,6,4,7,3,6,3,4,7,5,6,1,6,5,3,5,2,5,2,6,6,3,6,5,7,1,6,7,Low
866,Female,2,3,4,4,7,2,5,6,4,5,2,4,3,6,7,3,7,3,7,3,6,5,5,5,4,4,2,7,6,Low
867,Male,2,4,5,4,6,2,7,3,4,5,5,5,1,5,4,4,7,5,6,2,4,6,1,6,1,6,3,4,7,Low
868,Female,2,7,6,5,7,2,7,6,4,7,4,6,3,6,5,4,6,5,6,4,6,7,6,5,5,5,2,6,6,Low
869,Male,2,3,7,4,6,1,6,3,3,7,4,4,2,5,7,2,7,5,6,3,5,6,5,6,4,5,5,5,6,Low
870,Male,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,6,4,4,6,4,6,4,6,4,Low
871,Female,3,5,5,3,6,4,7,4,3,6,4,6,1,5,6,4,7,3,5,4,7,6,4,7,6,6,1,6,7,Low
872,Female,3,3,7,3,6,1,7,3,3,7,3,7,2,6,6,4,6,2,5,2,6,6,3,6,3,5,1,6,7,Low
873,Female,3,3,7,5,7,4,7,5,5,7,3,7,4,6,6,3,7,5,6,2,4,7,5,7,5,7,3,7,6,Low
874,Female,3,5,5,2,4,3,6,5,3,5,3,5,1,5,6,4,6,4,3,3,4,6,3,5,3,6,2,6,7,Low
875,Female,3,5,6,4,5,2,6,5,4,7,4,7,3,5,7,3,4,3,7,2,6,6,5,6,5,5,3,6,7,Low
876,Female,3,3,7,3,6,2,7,5,4,6,5,7,3,7,7,6,7,4,7,3,6,4,4,6,3,5,2,7,6,Low
877,Female,3,4,5,3,5,1,5,3,6,7,4,3,4,6,6,7,7,5,7,1,7,5,6,4,3,6,1,5,6,Low
878,Male,3,4,5,5,5,3,4,5,4,6,4,6,2,6,6,4,6,4,7,2,5,6,4,5,1,5,1,6,7,Low
879,Female,3,4,4,4,5,2,7,3,3,7,3,5,4,5,6,3,7,5,6,2,7,7,4,2,4,6,2,6,6,Low
880,Female,3,5,7,3,5,1,7,4,4,6,3,6,2,7,5,4,2,4,4,1,4,5,4,4,4,4,2,5,3,Low
881,Female,3,4,7,2,6,3,7,2,5,7,5,6,3,3,6,4,7,3,7,4,6,5,3,5,5,7,4,6,7,Low
882,Female,3,4,5,2,7,3,7,6,4,5,4,7,2,7,6,4,6,5,6,4,5,7,3,5,2,6,2,7,5,Low
883,Female,3,2,6,2,5,1,6,3,4,6,3,1,3,4,6,4,6,2,5,1,3,5,3,6,3,5,1,5,4,Low
884,Female,3,4,6,4,7,3,7,4,3,7,3,6,1,7,5,6,5,5,7,3,5,5,4,5,3,4,4,6,7,Low
885,Male,3,4,6,4,3,2,7,3,4,7,5,7,1,6,4,3,6,7,7,1,6,5,1,7,4,6,3,7,5,Low
886,Male,3,4,5,6,6,3,6,3,4,7,5,7,2,6,6,4,7,2,6,1,7,5,3,6,5,4,1,6,6,Low
887,Female,3,6,7,4,6,1,7,3,4,6,4,6,2,6,5,3,7,4,7,2,5,6,2,5,5,6,4,7,5,Low
888,Male,3,4,5,3,6,1,5,2,4,5,4,6,2,6,7,5,6,3,6,1,4,6,4,5,3,7,1,5,6,Low
889,Male,3,3,4,3,5,1,5,3,3,7,3,7,2,4,6,3,5,4,4,3,6,6,4,6,4,5,1,5,5,Low
890,Female,3,3,6,5,6,2,7,4,4,7,5,5,2,7,6,2,7,2,5,2,5,7,5,5,5,5,1,5,7,Low
891,Female,3,3,4,4,5,1,7,3,3,7,3,5,3,5,4,3,7,4,7,4,5,6,4,7,2,6,1,2,5,Low
892,Female,3,5,6,5,7,1,7,3,2,6,5,5,3,5,6,2,7,4,5,1,6,5,1,6,4,6,3,7,5,Low
893,Male,3,3,5,3,5,3,7,5,1,6,5,7,4,7,4,5,7,3,7,2,7,5,2,6,3,7,2,7,6,Low
894,Female,3,4,6,5,6,2,7,3,2,7,4,7,1,7,7,4,7,4,7,2,6,5,4,7,3,6,3,5,6,Low
895,Female,3,3,6,5,7,3,7,3,4,7,5,5,3,7,5,6,6,4,7,6,5,6,5,6,5,6,1,6,3,Low
896,Male,3,6,6,5,6,4,5,7,4,6,2,6,1,6,4,5,6,4,6,3,6,6,4,7,6,7,1,5,7,Low
897,Female,3,3,6,5,7,3,5,5,3,7,4,7,3,5,6,3,7,3,6,3,4,7,4,4,4,4,1,2,6,Low
898,Female,3,7,6,4,4,3,5,4,4,5,4,7,1,4,4,4,7,4,5,2,4,4,4,4,4,4,1,5,6,Low
899,Female,3,3,5,4,5,1,7,4,3,5,3,4,2,4,7,3,7,4,6,5,6,7,3,4,4,4,1,6,5,Low
900,Female,3,4,6,4,7,3,6,5,4,6,5,6,2,5,5,5,5,3,7,3,7,7,5,5,4,5,2,6,6,Low
901,Male,3,2,7,4,6,1,6,5,3,7,3,7,2,6,6,5,4,2,5,1,5,5,3,6,3,6,3,7,6,Low
902,Male,3,4,6,3,5,1,6,2,4,6,4,7,2,5,6,4,7,3,7,2,4,6,4,6,3,5,2,7,5,Low
903,Male,3,5,7,7,5,3,7,5,3,7,5,6,3,6,5,4,6,4,7,3,7,5,6,7,5,6,3,7,6,Low
904,Male,3,4,5,3,6,5,7,5,5,5,4,5,3,7,7,5,6,4,7,2,7,7,6,6,5,7,4,7,6,Low
905,Female,3,4,7,3,4,1,6,6,3,7,6,7,1,7,7,1,5,5,5,4,7,6,4,5,4,7,2,5,6,Low
906,Male,3,5,6,3,5,3,6,6,5,7,4,6,2,5,5,5,6,4,4,2,6,6,3,6,2,7,1,6,5,Low
907,Male,3,6,6,2,6,1,6,3,3,7,3,7,3,7,7,4,6,4,6,2,7,7,5,5,3,7,3,7,3,Low
908,Female,3,6,7,3,6,1,5,5,4,7,3,7,2,7,7,4,6,4,5,2,6,5,4,6,4,2,3,7,4,Low
909,Male,3,5,7,4,6,2,6,1,4,7,3,4,2,5,6,2,7,4,6,3,5,6,4,6,5,6,3,6,7,Low
910,Male,3,4,5,6,6,1,5,4,5,6,6,7,1,6,5,4,3,5,6,1,7,7,5,5,5,5,2,7,7,Low
911,Female,3,4,7,4,4,4,5,4,4,7,4,4,4,4,4,4,4,4,5,1,4,4,5,4,4,5,4,4,4,Low
912,Male,3,5,7,5,6,2,7,5,5,7,3,6,3,6,6,4,6,4,4,1,7,7,5,6,5,6,3,6,6,Low
913,Male,3,4,7,3,5,3,7,3,3,7,4,6,3,7,5,5,5,6,6,3,7,7,6,5,4,5,2,5,7,Low
914,Female,3,4,6,3,6,3,6,2,4,6,3,6,1,4,7,5,7,3,5,1,5,4,5,5,4,6,4,6,6,Low
915,Male,3,4,7,5,6,3,7,4,6,7,4,5,4,6,5,4,5,3,7,3,7,7,3,7,4,7,1,7,7,Low
916,Female,3,4,5,3,7,2,7,3,2,5,3,4,1,6,6,4,5,3,6,1,6,6,4,7,5,5,2,7,5,Low
917,Female,3,6,4,2,6,1,4,4,4,2,2,6,2,4,2,2,2,2,2,4,2,2,6,4,4,6,2,4,2,Low
918,Male,3,5,4,4,6,4,4,2,4,4,4,4,4,7,4,4,4,4,4,4,7,2,4,4,4,4,4,4,4,Low
919,Female,3,5,7,5,6,3,6,6,5,7,4,7,3,7,7,5,7,4,7,4,7,6,7,7,4,6,3,7,6,Low
920,Male,3,3,7,3,5,3,7,5,3,6,4,7,1,5,6,4,5,4,5,3,6,7,4,7,3,6,3,6,5,Low
921,Male,3,3,7,4,7,1,6,5,4,7,4,5,2,6,7,4,5,5,6,3,7,7,3,7,4,7,1,6,6,Low
922,Female,3,5,6,2,6,2,5,5,3,7,4,5,1,6,7,3,5,3,6,1,7,5,4,2,3,5,2,6,7,Low
923,Male,3,5,7,5,7,1,7,3,4,7,3,6,1,7,5,4,6,4,4,2,5,7,4,7,6,5,3,6,4,Low
924,Female,3,4,3,4,5,4,5,5,4,6,4,5,1,7,5,4,5,3,6,3,6,7,3,6,4,6,2,5,5,Low
925,Female,3,5,7,4,4,2,6,5,6,6,4,7,2,5,6,4,5,4,5,3,7,4,3,4,3,5,3,5,6,Low
926,Male,3,4,5,4,6,1,6,3,3,6,3,4,1,5,4,3,4,4,4,1,5,5,3,5,4,5,1,5,6,Low
927,Male,3,1,3,2,6,2,5,3,1,5,4,2,1,6,5,4,6,2,6,4,6,6,3,4,2,2,1,5,3,Low
928,Male,3,4,7,5,7,4,7,3,4,7,5,7,2,7,7,5,6,3,6,4,7,6,6,5,6,7,4,7,7,Low
929,Female,3,6,3,6,6,2,4,4,6,6,4,6,2,6,6,2,6,4,4,3,7,7,4,7,5,5,2,6,5,Low
930,Female,3,4,6,5,7,3,6,3,4,7,4,6,2,5,4,4,7,6,5,2,6,6,4,6,5,5,2,6,4,Low
931,Male,3,4,5,4,6,1,6,5,5,5,4,6,5,6,6,4,3,2,6,2,5,5,4,5,1,6,3,5,7,Low
932,Male,3,5,6,5,6,2,7,3,4,7,6,6,4,7,5,5,6,4,6,1,4,7,4,5,4,5,4,6,7,Low
933,Male,3,4,7,5,5,1,7,6,4,7,4,6,1,7,5,3,6,2,4,4,7,6,4,4,4,5,2,5,6,Low
934,Male,3,3,5,4,7,2,5,3,5,6,4,7,1,5,6,2,6,4,5,2,6,7,6,5,5,6,2,5,4,Low
935,Male,3,3,6,3,4,3,7,3,3,5,4,6,2,5,5,4,4,4,4,1,5,5,5,5,2,5,2,5,6,Low
936,Male,3,2,5,4,5,2,4,3,3,5,4,5,2,5,5,3,6,5,7,3,5,4,4,6,3,4,3,5,5,Low
937,Female,3,5,5,5,6,1,5,3,4,5,3,7,1,6,5,4,7,3,5,4,4,5,5,5,3,5,2,3,3,Low
938,Female,3,4,6,3,4,3,5,3,4,7,4,4,4,5,6,5,6,3,4,7,7,5,4,4,5,7,3,5,7,Low
939,Female,3,4,6,3,7,2,6,4,2,6,5,7,1,5,6,6,7,4,7,2,4,7,3,6,4,7,2,5,3,Low
940,Female,3,6,7,4,7,3,7,6,5,7,3,6,4,7,5,5,5,5,5,2,5,7,6,6,5,7,2,6,7,Low
941,Female,3,3,4,5,5,1,6,4,4,6,4,5,1,6,6,3,5,4,7,2,6,6,3,6,4,7,2,5,5,Low
942,Female,3,6,7,5,4,4,7,4,6,7,6,7,2,6,7,4,7,7,6,4,7,7,5,7,5,6,4,6,7,Low
943,Female,3,5,5,5,5,2,5,4,3,5,3,7,4,6,7,3,5,3,6,2,6,6,5,6,1,7,2,7,7,Low
944,Female,3,4,5,3,6,2,5,4,6,6,4,5,3,4,5,5,5,6,7,4,6,7,5,7,4,7,3,7,6,Low
945,Female,3,5,5,5,7,4,7,4,4,7,6,7,4,6,7,4,7,6,7,3,7,5,4,7,7,7,4,6,7,Low
946,Male,3,5,7,3,7,2,7,3,4,6,5,5,2,7,3,3,6,2,6,4,6,6,5,7,5,3,2,6,5,Low
947,Female,3,4,7,6,7,2,6,6,3,7,4,5,2,7,6,4,6,4,5,2,5,6,2,5,3,6,2,5,5,Low
948,Male,3,4,6,6,6,4,3,6,2,3,2,4,2,6,2,6,2,2,2,4,4,4,4,4,6,6,2,4,2,Low
949,Female,3,3,5,4,5,5,7,4,7,6,3,6,1,7,7,5,7,6,6,3,6,5,2,4,6,4,3,5,4,Low
950,Female,3,3,7,5,5,1,7,4,4,5,4,6,2,7,6,4,6,5,6,2,7,6,2,5,6,7,1,5,7,Low
951,Female,3,2,3,3,4,2,6,4,3,4,2,4,1,6,5,3,5,2,5,1,6,5,4,5,2,6,2,4,6,Low
952,Female,3,4,7,4,5,1,6,3,5,7,6,5,1,7,6,4,6,3,5,2,6,7,5,7,4,5,3,5,6,Low
953,Male,3,6,6,3,6,2,7,5,3,6,3,6,4,5,6,4,5,4,5,1,6,7,3,6,4,5,1,6,6,Low
954,Female,3,6,6,3,6,3,5,4,2,5,3,5,1,6,6,3,5,4,7,4,7,7,5,6,5,5,3,6,5,Low
955,Male,3,4,7,3,7,2,7,3,3,6,4,5,3,7,6,5,7,5,6,2,7,7,4,6,5,6,1,7,6,Low
956,Male,3,3,7,5,5,1,6,4,4,6,5,5,5,6,6,5,7,4,5,2,6,5,5,6,3,3,2,5,2,Low
957,Female,3,5,4,4,6,2,7,4,2,6,5,6,2,5,4,4,6,6,5,1,5,5,3,6,4,5,2,6,6,Low
958,Male,3,3,5,2,7,2,6,5,3,6,5,4,1,3,7,1,6,2,4,2,5,5,5,5,5,6,1,5,6,Low
959,Male,3,3,6,3,5,3,6,3,4,7,5,6,1,6,7,2,4,5,5,1,6,6,3,7,4,5,2,6,5,Low
960,Male,3,4,6,4,7,2,7,5,4,6,4,7,3,7,7,6,6,4,6,2,6,6,4,7,3,7,3,4,7,Low
961,Male,3,3,4,3,7,1,4,3,3,4,4,6,3,4,5,3,5,5,6,2,5,4,2,4,4,6,2,7,6,Low
962,Male,3,4,4,3,6,5,4,2,4,6,3,6,3,4,6,4,4,4,6,3,7,7,4,7,4,5,1,6,5,Low
963,Female,3,4,7,4,4,4,7,4,4,5,5,5,2,7,5,6,5,4,7,1,7,5,2,6,4,7,2,5,6,Low
964,Female,3,2,7,4,6,3,6,4,5,6,3,6,3,6,7,4,6,3,5,2,7,7,4,7,4,7,1,7,5,Low
965,Female,3,4,6,3,4,2,7,5,6,7,4,5,6,3,6,4,5,2,7,3,6,6,4,7,5,7,4,5,7,Low
966,Female,3,3,7,3,5,3,7,3,2,7,3,6,1,6,6,3,2,3,5,3,5,5,4,6,5,6,1,4,6,Low
967,Male,3,5,6,5,5,1,7,2,6,6,3,6,3,5,7,3,6,5,5,3,5,4,4,6,4,6,2,6,5,Low
968,Female,3,4,3,4,5,3,5,4,4,6,7,6,1,7,4,4,5,1,4,3,7,6,5,6,4,6,2,5,4,Low
969,Male,3,2,6,6,6,1,6,3,5,7,4,6,1,6,6,5,6,4,6,2,6,4,6,5,5,5,2,6,6,Low
970,Male,3,4,5,3,6,1,5,5,4,6,5,6,2,5,6,5,5,5,6,4,5,6,5,4,4,6,2,6,6,Low
971,Female,3,4,6,2,6,2,6,6,5,7,4,6,1,6,4,5,6,4,4,2,6,7,4,7,5,6,3,7,6,Low
972,Male,3,3,6,5,6,1,7,3,4,7,1,4,1,6,7,6,7,3,4,2,5,5,5,7,4,5,3,4,5,Low
973,Female,3,4,4,3,6,2,5,3,5,7,4,5,2,6,7,3,6,6,6,2,4,7,4,7,5,7,3,5,5,Low
974,Female,3,1,7,3,2,1,7,3,3,7,4,6,2,5,1,3,5,5,5,3,4,7,5,6,4,6,1,7,5,Low
975,Male,3,3,5,3,5,1,6,6,3,1,5,5,2,4,4,3,7,3,6,1,5,6,6,4,4,7,1,7,5,Low
976,Female,3,3,7,5,6,1,6,4,5,6,4,4,1,6,7,4,5,5,6,1,7,7,4,5,5,6,3,7,6,Low
977,Male,3,4,6,2,6,3,7,4,4,7,2,6,3,4,7,4,6,5,6,1,6,5,4,5,3,5,1,4,7,Low
978,Female,3,6,5,2,7,2,5,3,4,6,5,5,2,7,6,4,6,4,6,2,7,7,4,6,5,5,3,5,6,Low
979,Female,3,5,7,1,7,3,6,4,4,7,4,7,3,5,5,4,5,5,6,2,7,5,1,7,3,5,3,6,4,Low
980,Female,3,4,6,4,7,3,6,4,4,7,5,6,3,6,4,3,7,5,7,2,3,5,4,6,3,6,1,4,5,Low
981,Female,3,4,5,4,6,4,7,3,4,6,6,5,3,6,5,3,6,5,5,3,5,6,3,6,3,5,2,6,7,Low
982,Male,3,4,4,4,7,4,4,4,4,5,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,2,4,4,Low
983,Female,3,4,6,3,7,2,7,4,4,5,3,1,2,7,6,3,5,5,5,3,7,5,4,6,3,5,2,4,5,Low
984,Female,3,5,6,4,7,1,6,3,4,7,5,5,3,7,6,5,5,4,4,1,5,7,4,5,3,4,1,6,6,Low
985,Female,3,5,6,4,6,3,7,3,2,7,4,4,3,7,5,3,7,5,3,3,6,6,6,5,5,5,1,6,7,Low
