Name,Gender,Grade,Because I need at least a high-school degree in order to find a high-paying job later on.,Because I experience pleasure and satisfaction while learning new things.,Because I think that a high-school education will help me better prepare for the career I have chosen.,Because I really like going to school.,"Honestly, I don't know; I really feel that I am wasting my time in school.",For the pleasure I experience while surpassing myself in my studies.,To prove to myself that I am capable of completing my high-school degree.,In order to obtain a more prestigious job later on.,For the pleasure I experience when I discover new things never seen before.,Because eventually it will enable me to enter the job market in a field that I like.,"Because for me, school is fun.","I once had good reasons for going to school; however, now I wonder whether I should continue.",For the pleasure that I experience while I am surpassing myself in one of my personal accomplishments.,"Because of the fact that when I succeed in school I feel
important.","Because I want to have ""the good life"" later on.","For the pleasure that I experience in broadening my
knowledge about subjects which appeal to me.",Because this will help me make a better choice regarding my career orientation.,"For the pleasure that I experience when I am taken by
discussions with interesting teachers.","I can't see why I go to school and frankly, I couldn't care
less.","For the satisfaction I feel when I am in the process of
accomplishing difficult academic activities.",To show myself that I am an intelligent person.,In order to have a better salary later on.,"Because my studies allow me to continue to learn about
many things that interest me.","Because I believe that my high school education will
improve my competence as a worker.","For the ""high"" feeling that I experience while reading about various interesting subjects.",I don't know; I can't understand what I am doing in school.,Because high school allows me to experience a personal satisfaction in my quest for excellence in my studies.,"Because I want to show myself that I can succeed in my
studies.",Cluster
1193,Male,9,3,4,2,7,6,4,1,6,1,3,7,4,5,7,3,7,3,2,3,6,4,3,3,6,4,1,3,6,0
1194,Female,1,6,6,5,4,5,3,6,6,7,6,7,5,1,4,1,2,2,2,7,7,2,3,4,7,1,3,7,4,0
1195,Female,7,3,4,5,5,1,7,6,5,1,3,5,3,3,2,2,2,1,2,2,2,3,6,6,6,1,2,3,4,1
1196,Male,3,2,1,6,1,6,1,3,3,4,4,7,3,3,1,7,4,2,1,7,7,2,7,6,3,4,3,7,1,0
1197,Male,4,6,3,4,5,1,4,6,3,6,5,3,1,2,6,3,5,2,4,2,5,4,1,2,2,1,6,3,4,1
1198,Male,5,5,7,1,1,2,5,2,1,5,5,5,6,7,1,4,6,6,2,2,3,4,5,6,2,6,7,4,5,1
1199,Female,9,1,1,6,3,4,4,7,7,2,5,1,6,7,6,5,3,2,4,4,7,3,6,7,1,6,1,6,1,0
1200,Male,3,2,1,7,6,7,1,3,2,2,7,5,4,4,1,2,3,2,2,1,6,2,7,3,3,7,7,5,2,0
1201,Female,12,1,2,1,5,2,4,1,2,5,3,5,6,1,7,7,7,1,6,7,6,2,7,4,7,6,6,1,1,0
1202,Female,2,4,2,3,6,5,3,1,2,5,3,4,5,6,5,7,1,1,2,3,1,1,3,3,1,6,7,5,1,0
1203,Female,1,4,3,7,2,5,3,6,4,3,3,5,3,1,3,4,2,2,5,2,6,2,5,5,2,6,5,1,2,0
1204,Male,7,1,3,5,7,3,5,7,2,2,1,2,2,5,7,2,6,4,1,2,1,5,2,5,3,6,3,4,1,1
1205,Male,5,1,4,6,1,4,2,3,3,2,5,3,2,6,3,3,7,4,4,7,5,2,3,5,2,6,4,7,3,0
1206,Female,5,2,2,6,1,5,1,4,2,3,7,4,6,3,7,3,7,7,1,2,1,1,2,3,3,4,7,3,5,0
1207,Female,2,7,1,7,6,6,4,4,2,7,3,1,2,5,1,7,5,1,5,1,2,1,5,3,6,7,3,4,6,0
1208,Male,6,3,7,6,3,1,2,6,1,7,3,3,4,2,4,1,2,5,5,5,1,4,4,1,1,1,4,3,7,1
1209,Female,6,2,3,3,6,2,4,2,5,5,6,5,3,3,1,3,7,2,6,5,3,4,2,5,1,3,3,1,3,0
1210,Male,6,7,1,6,7,7,4,7,4,5,4,4,1,7,4,4,1,5,7,6,3,5,2,5,7,7,7,4,1,1
1211,Female,12,7,3,7,6,7,6,4,5,2,6,6,5,1,2,1,2,5,2,6,3,2,6,1,3,6,4,5,1,0
1212,Male,6,2,5,5,7,3,1,6,2,1,7,5,2,7,6,2,3,7,1,5,6,4,2,4,3,7,6,3,4,1
1213,Male,4,2,4,5,6,5,4,5,1,1,6,2,7,6,7,2,1,3,6,2,1,3,6,2,6,2,7,1,3,1
1214,Male,3,2,7,5,4,6,5,5,2,6,4,7,5,2,7,4,3,4,2,2,6,5,6,2,3,5,3,5,6,1
1215,Male,10,5,7,2,6,6,4,7,4,3,6,5,4,3,6,4,3,6,7,1,6,7,3,7,4,1,4,4,2,1
1216,Male,2,3,5,3,1,1,2,6,5,7,1,7,1,2,3,7,6,4,7,4,6,2,4,7,6,1,2,1,6,1
1217,Female,7,1,4,7,2,3,6,3,4,5,5,7,4,3,3,3,2,6,3,4,7,4,5,5,1,7,6,2,5,0
1218,Male,8,1,4,5,7,4,5,2,5,5,3,5,5,5,1,3,4,4,3,4,5,5,1,3,2,6,2,5,1,1
1219,Male,3,1,1,1,2,7,3,3,5,3,5,3,4,4,6,3,4,2,1,4,3,2,5,5,1,4,2,2,4,0
1220,Female,12,1,2,5,3,6,3,4,4,6,5,5,2,5,1,2,5,4,7,3,6,1,5,2,4,5,2,4,3,0
1221,Female,9,3,1,1,6,3,3,5,6,2,3,3,7,1,6,2,7,4,4,3,3,3,2,6,2,4,4,4,1,0
1222,Male,4,4,2,6,4,2,7,3,7,5,5,7,7,1,5,6,2,2,4,7,7,4,2,5,2,2,7,6,5,1
1223,Male,8,7,1,2,4,6,1,5,2,7,5,1,5,7,2,7,2,2,3,1,1,2,2,5,7,1,3,3,2,1
1224,Female,6,7,5,7,2,3,7,7,1,3,4,2,5,4,6,4,3,2,7,6,6,2,7,5,4,2,6,5,6,0
1225,Female,6,5,5,6,6,7,1,1,4,2,5,3,6,7,3,1,2,5,3,7,6,7,6,1,5,4,7,4,4,0
1226,Female,5,1,1,1,6,4,4,5,4,6,7,1,2,6,3,4,4,3,5,3,3,1,1,4,4,3,5,3,5,0
1227,Male,4,6,7,2,2,4,2,4,6,7,3,5,5,4,7,1,7,4,1,1,3,3,7,1,1,6,5,1,4,1
1228,Male,8,1,6,5,4,3,7,6,4,7,1,4,7,5,3,1,5,1,5,3,3,3,2,2,4,1,2,3,5,1
1229,Female,5,2,5,6,3,5,2,6,6,2,6,7,6,5,4,6,5,3,6,1,7,4,5,5,4,7,6,3,5,1
1230,Male,12,3,1,5,3,3,3,1,2,1,7,6,6,4,7,7,5,4,1,1,1,1,1,4,6,7,7,6,2,0
1231,Female,7,5,3,4,2,7,2,6,7,1,2,3,7,6,1,1,4,4,3,1,4,4,2,3,4,5,6,5,4,1
1232,Female,8,3,7,7,5,4,3,5,4,6,6,6,7,7,7,4,4,4,6,1,1,3,3,2,7,1,2,2,7,1
1233,Male,10,6,2,3,2,3,6,4,3,5,6,1,4,2,7,7,6,4,2,2,7,4,1,7,7,4,2,3,4,1
1234,Female,10,5,5,2,2,5,6,1,7,1,4,3,3,5,3,6,6,7,3,3,5,4,1,6,5,2,4,2,4,0
1235,Female,6,3,7,7,3,3,6,5,7,7,2,5,7,4,7,4,3,7,3,4,4,7,1,2,4,7,4,7,6,1
1236,Female,9,1,1,2,6,5,4,3,6,1,6,2,2,4,6,7,7,2,7,5,3,4,2,3,4,5,3,6,2,0
1237,Male,5,5,4,3,7,3,5,5,3,4,7,1,2,1,1,2,2,3,6,6,1,1,3,3,5,5,4,2,2,1
1238,Female,7,3,2,3,2,4,5,1,4,3,5,1,1,3,5,4,4,1,5,3,6,6,4,5,5,4,1,2,5,0
1239,Female,10,1,1,3,7,4,7,1,4,1,1,7,2,1,1,6,3,1,3,7,1,5,7,7,2,2,6,6,7,0
1240,Female,7,7,6,1,1,6,2,1,6,7,7,2,2,6,5,4,4,1,1,6,3,5,7,7,6,3,2,7,3,0
1241,Male,10,3,6,7,6,6,6,5,5,5,4,4,1,3,7,3,1,4,3,5,1,6,6,7,2,4,4,5,3,1
1242,Female,12,5,5,6,4,6,5,7,3,7,5,1,2,4,5,3,7,6,3,6,5,7,5,2,1,3,2,2,6,0
1243,Female,7,1,3,7,1,7,2,3,5,1,5,6,4,2,2,7,4,4,2,2,3,6,3,7,1,4,1,2,1,0
1244,Female,8,7,3,1,3,5,5,3,4,4,3,7,2,5,1,6,1,2,5,4,1,4,7,4,7,5,1,2,5,0
1245,Male,2,4,7,6,2,7,5,3,1,1,6,2,4,6,1,6,5,4,3,5,4,4,3,2,1,2,4,1,2,1
1246,Male,1,7,2,6,3,5,3,7,4,4,7,5,2,7,1,7,3,7,4,3,6,7,7,1,2,6,7,2,6,1
1247,Male,9,2,3,5,1,3,5,6,2,1,3,6,4,6,1,1,5,2,7,6,1,6,4,1,4,6,6,7,4,1
1248,Male,1,2,3,6,5,3,3,1,3,2,5,2,4,6,1,3,1,4,1,7,3,3,6,3,4,3,6,3,6,0
1249,Male,10,2,2,5,6,3,4,4,1,3,5,2,6,6,6,6,6,2,7,7,5,4,1,7,3,1,3,3,5,1
1250,Female,1,6,2,1,6,1,6,7,1,5,5,6,6,5,1,4,3,1,3,7,2,2,5,3,6,3,6,5,6,1
1251,Male,2,4,2,2,4,5,2,2,1,6,1,6,4,1,4,1,5,7,4,3,1,2,7,2,2,1,6,3,3,0
1252,Female,12,3,6,7,4,7,5,7,7,2,5,4,5,3,1,6,2,4,5,1,3,7,5,1,7,6,3,2,5,1
1253,Female,3,1,3,5,5,1,1,5,1,3,2,4,4,2,1,5,7,2,2,7,7,3,5,6,7,1,3,7,7,0
1254,Female,2,4,5,5,1,2,5,3,2,6,1,4,3,1,1,1,5,7,2,4,6,7,7,7,3,2,1,1,5,0
1255,Male,1,1,1,6,7,2,5,4,2,7,3,1,1,6,3,4,2,4,1,2,6,7,5,6,6,6,2,7,6,1
1256,Female,9,5,7,7,1,3,2,5,7,7,4,5,6,6,7,4,4,7,5,6,3,2,4,5,7,4,1,3,2,0
1257,Female,3,5,3,5,6,7,3,5,6,1,7,4,3,5,3,5,7,1,1,4,6,6,7,5,7,3,5,3,5,0
1258,Male,3,2,7,7,1,6,6,5,2,6,6,2,4,2,3,3,2,1,3,7,3,3,7,1,5,1,7,7,4,0
1259,Male,4,1,6,5,3,3,5,1,7,3,4,5,6,7,1,5,6,3,7,4,7,1,4,5,1,6,3,4,2,1
1260,Male,7,2,7,4,3,6,2,1,7,1,3,2,5,6,1,5,6,5,2,5,5,6,1,5,6,1,4,1,3,1
1261,Male,1,5,7,5,3,2,5,7,1,3,1,1,7,6,4,6,1,4,2,7,7,1,2,2,6,5,4,6,1,1
1262,Male,6,3,1,3,2,1,2,1,1,4,3,5,5,1,7,3,7,5,1,4,5,2,1,3,1,1,4,7,2,0
1263,Male,1,5,2,2,5,1,1,7,1,7,6,2,3,7,6,2,2,6,4,4,5,4,1,2,7,7,3,5,3,1
1264,Female,9,5,2,6,2,7,6,2,3,5,3,7,7,3,6,5,1,1,1,4,4,5,3,1,4,5,1,1,6,0
1265,Female,10,6,6,6,3,2,6,4,6,3,6,4,7,3,2,3,5,2,3,2,2,7,2,2,6,3,2,6,1,1
1266,Female,1,7,7,6,7,7,5,6,7,7,4,7,7,1,4,4,6,2,1,7,7,2,7,1,1,6,6,7,5,0
1267,Female,4,7,2,3,6,4,7,5,7,4,1,1,2,7,1,2,2,4,6,5,6,3,1,7,3,7,4,1,4,1
1268,Male,8,5,1,5,1,1,2,6,7,5,1,5,1,4,5,4,2,7,1,2,7,5,1,5,6,3,7,2,3,1
1269,Female,2,4,6,7,2,3,1,2,2,4,7,3,3,4,4,4,1,5,4,2,1,3,1,5,1,1,6,1,5,1
1270,Female,6,4,4,3,4,1,3,5,6,7,1,4,7,3,3,5,5,5,3,4,2,2,7,1,2,5,6,5,2,0
1271,Female,2,7,3,6,1,2,5,4,5,2,5,2,5,4,1,6,4,3,4,6,1,3,7,5,6,7,5,5,2,0
1272,Male,12,4,4,3,6,1,1,4,2,3,1,7,4,1,2,1,7,5,6,4,3,5,2,4,3,1,4,1,6,1
1273,Male,9,2,5,1,4,6,1,4,4,2,6,5,1,7,3,4,7,7,1,7,5,2,6,2,4,1,4,1,6,0
1274,Female,1,1,2,5,6,4,3,5,5,7,3,6,3,4,4,1,5,6,1,1,3,1,3,5,6,2,1,3,7,0
1275,Female,9,5,4,1,2,4,2,3,3,7,2,2,5,1,5,6,7,4,2,3,5,7,7,5,1,2,3,1,5,0
1276,Male,2,6,6,2,6,2,2,4,5,7,1,2,4,1,1,1,3,5,1,3,4,4,7,1,2,7,6,3,3,1
1277,Female,9,5,2,4,5,2,3,7,7,1,1,7,3,5,4,3,2,1,2,3,4,4,2,7,3,6,4,3,7,1
1278,Male,12,1,7,7,1,1,5,6,3,7,3,4,1,4,4,1,2,6,4,1,6,6,7,2,1,5,1,5,1,1
1279,Female,11,2,3,6,5,1,7,2,2,3,3,6,5,1,6,5,7,6,7,6,6,4,1,3,2,3,5,3,7,0
1280,Female,2,3,6,3,2,1,3,6,6,4,4,3,7,5,4,7,2,4,6,2,3,1,5,7,6,3,1,1,3,1
1281,Male,5,3,6,7,4,4,2,7,7,1,5,2,6,6,7,4,4,2,1,3,4,5,1,2,1,5,5,2,3,1
1282,Female,10,6,4,6,6,7,5,6,3,7,2,5,7,5,7,3,5,4,1,2,3,7,4,1,6,6,5,4,4,1
1283,Female,7,7,2,3,4,2,2,6,3,2,7,4,3,4,2,3,4,5,1,4,7,2,6,7,7,6,2,2,7,0
1284,Male,1,2,5,7,3,2,4,6,5,1,6,4,4,4,1,1,2,5,2,2,1,3,2,5,1,1,3,6,3,1
1285,Female,12,4,4,1,5,1,6,4,2,1,4,1,2,3,7,2,5,6,1,7,1,1,4,1,2,5,2,3,5,0
1286,Male,4,7,2,5,7,6,4,7,4,5,4,4,5,2,7,2,2,6,1,3,4,1,7,1,1,3,1,4,2,0
1287,Male,1,6,6,3,1,6,3,2,3,4,3,6,7,1,7,6,3,3,4,3,4,2,7,7,1,6,4,1,7,1
1288,Female,3,5,6,4,7,7,3,1,1,1,4,3,4,7,5,2,5,7,6,1,5,7,2,4,2,6,7,6,7,1
1289,Female,6,1,5,5,7,3,7,1,3,1,3,7,1,6,5,5,1,2,1,4,4,5,2,4,4,5,2,2,1,0
1290,Female,12,6,6,7,7,1,1,1,6,5,6,6,1,3,4,5,7,1,2,6,3,7,2,5,1,4,1,5,6,0
1291,Female,6,2,4,6,6,4,2,4,4,4,5,6,1,2,2,2,1,3,6,1,5,6,4,2,1,1,6,5,3,0
1292,Male,3,6,6,2,4,6,5,6,3,4,4,5,6,2,7,6,4,5,4,2,3,3,4,6,1,5,1,7,7,1
1293,Female,7,1,5,1,2,2,4,2,4,1,7,5,7,3,7,7,3,2,4,6,1,2,2,3,5,7,4,5,6,0
1294,Female,1,6,6,7,6,4,3,7,5,3,2,5,3,3,3,4,6,7,1,6,7,6,6,2,1,3,3,5,3,0
1295,Male,11,6,2,5,7,1,1,7,4,1,5,4,5,6,4,5,1,7,5,4,5,6,2,7,3,5,7,7,2,1
1296,Female,11,2,6,5,5,3,4,1,3,6,6,2,5,3,6,3,3,4,6,2,6,4,1,3,6,6,3,5,3,0
1297,Female,10,2,5,7,7,4,5,2,7,2,4,4,3,2,7,6,2,3,3,7,5,6,4,1,5,2,2,5,1,0
1298,Female,6,2,6,3,6,6,5,4,4,3,4,4,4,2,3,1,5,2,5,6,3,4,7,4,3,3,1,1,4,0
1299,Female,1,6,2,1,2,5,2,6,7,5,2,2,1,4,7,1,4,7,3,4,3,3,6,3,6,4,7,6,3,0
1300,Female,8,2,6,2,3,5,5,2,6,1,3,5,5,4,3,2,4,5,3,2,4,7,6,3,7,2,4,3,3,1
1301,Female,6,3,3,3,7,1,1,2,1,7,5,1,2,2,1,2,2,1,5,3,1,5,2,3,6,1,5,4,5,1
1302,Male,1,5,2,5,6,5,7,6,4,3,1,2,3,3,4,5,5,1,2,2,1,6,7,4,1,3,3,3,3,1
1303,Male,8,6,5,6,4,7,2,2,4,7,5,4,3,6,2,4,5,1,1,2,1,7,6,7,3,4,2,2,4,1
1304,Male,5,4,1,4,2,4,1,6,7,3,1,3,2,1,2,3,3,5,7,6,6,5,2,2,6,4,2,1,7,0
1305,Female,9,1,6,5,4,4,5,6,3,4,7,7,7,5,4,5,2,2,7,5,1,3,6,6,1,3,1,1,2,1
1306,Male,9,2,2,1,5,7,2,4,6,1,2,3,2,4,6,2,7,3,4,1,7,1,7,2,6,6,2,1,4,0
1307,Male,12,2,5,7,1,1,7,7,6,7,7,3,5,7,6,6,2,6,3,4,1,1,4,2,2,7,7,7,2,1
1308,Male,10,6,1,3,7,3,7,5,3,3,7,5,4,7,1,6,7,4,3,7,4,7,3,4,1,3,4,4,3,1
1309,Male,1,7,5,5,2,7,7,7,6,7,7,2,2,1,1,4,7,7,7,7,5,3,6,5,2,7,5,3,3,0
1310,Female,4,2,5,7,2,4,5,5,4,5,1,6,2,1,2,4,1,1,7,5,1,2,7,3,6,5,4,6,1,0
1311,Female,3,4,1,5,1,6,6,1,5,4,6,3,2,1,1,5,5,6,4,6,2,7,7,3,1,3,1,6,5,0
1312,Female,4,1,7,3,2,2,3,6,7,2,4,4,3,5,4,6,6,2,4,2,4,4,6,7,4,4,7,1,6,1
1313,Female,8,7,2,5,2,2,6,1,4,5,2,4,2,7,4,4,3,3,4,5,4,3,7,6,5,6,6,4,1,0
1314,Male,5,7,7,6,2,3,1,7,6,2,1,6,6,7,2,2,2,3,2,3,7,4,3,6,7,4,5,6,1,1
1315,Male,10,5,3,5,4,4,4,3,5,4,1,7,2,3,7,2,2,1,5,5,1,3,7,1,3,7,6,7,6,0
1316,Female,1,4,1,3,4,7,6,1,2,4,4,3,4,1,5,4,7,6,1,3,7,2,3,7,7,5,5,6,6,0
1317,Male,8,4,5,3,5,4,5,7,5,2,1,2,6,4,6,4,3,6,3,7,1,7,2,5,3,3,2,5,7,1
1318,Female,7,5,1,1,4,5,7,2,6,7,7,6,5,6,6,3,7,4,4,1,1,6,6,3,4,2,7,2,7,1
1319,Female,1,1,1,5,1,7,3,7,2,3,5,1,5,7,7,2,1,3,4,7,2,2,7,2,1,6,2,5,3,0
1320,Male,4,5,4,7,2,2,2,3,7,1,6,4,4,1,7,1,6,2,4,1,7,5,3,2,3,5,5,5,5,1
1321,Female,9,3,4,4,4,2,1,3,5,1,4,1,7,4,2,1,3,1,1,3,6,6,3,7,3,4,4,4,1,1
1322,Female,3,3,1,4,1,7,3,6,1,7,5,4,7,1,2,3,3,4,2,4,2,5,7,2,3,7,3,1,5,0
1323,Female,6,2,5,6,4,4,1,6,4,6,1,5,4,2,7,5,2,6,7,1,4,3,6,3,3,6,7,6,2,0
1324,Male,1,5,3,3,5,5,7,7,3,3,7,3,4,4,4,2,2,6,5,7,1,5,6,2,2,2,5,2,5,1
1325,Female,2,3,5,1,2,2,5,2,2,6,7,1,6,2,2,5,2,3,6,5,5,6,6,6,5,2,7,5,6,1
1326,Female,10,4,4,7,6,2,1,4,1,2,4,5,2,7,6,2,2,1,3,1,1,5,4,3,2,6,5,3,4,1
1327,Female,2,4,7,6,6,5,3,6,2,2,5,7,7,5,1,1,2,5,2,5,5,4,5,1,5,7,2,2,2,1
1328,Male,11,6,6,1,7,6,5,4,2,7,6,1,4,5,2,1,2,3,5,2,4,4,7,7,3,2,3,2,7,1
1329,Female,6,5,1,2,1,6,3,2,1,6,6,7,4,4,6,1,6,6,6,7,6,6,3,4,5,6,4,5,7,0
1330,Female,5,5,2,7,3,4,6,4,5,1,1,6,6,1,5,6,6,5,1,5,7,6,6,2,2,3,3,5,2,0
1331,Male,6,4,4,4,3,1,1,6,6,5,3,7,2,5,3,1,3,3,6,6,5,2,1,1,7,3,6,2,7,1
1332,Female,9,1,3,7,4,1,6,2,1,5,7,7,5,3,2,6,3,7,2,2,6,3,7,2,6,4,4,7,4,0
1333,Male,7,2,1,3,5,2,1,1,2,6,5,4,1,4,7,5,3,7,7,4,4,4,5,5,1,2,2,6,7,0
1334,Male,5,3,3,3,2,3,1,7,7,7,5,6,5,7,1,5,2,5,7,5,5,4,4,3,2,7,2,7,5,1
1335,Female,9,1,2,1,3,3,4,3,6,6,1,7,6,7,4,4,7,7,2,5,6,4,4,6,2,5,3,7,4,0
1336,Female,10,6,5,2,5,5,5,6,4,6,2,5,1,5,7,7,3,7,2,5,2,6,2,7,6,5,7,3,4,1
1337,Male,3,7,3,4,2,6,7,6,6,7,1,6,6,7,5,7,1,2,6,7,4,1,3,4,7,2,7,1,4,1
1338,Female,12,2,7,1,4,5,7,2,4,2,4,5,6,4,5,2,2,1,2,5,3,3,1,7,4,6,5,4,7,1
1339,Female,5,1,2,5,2,5,3,6,4,4,7,3,3,5,4,3,4,5,5,4,2,1,2,4,6,5,4,6,3,0
1340,Female,2,1,6,5,3,5,2,2,3,2,5,2,5,5,7,2,1,7,4,5,7,3,3,4,6,3,7,7,5,0
1341,Male,7,5,7,2,6,6,7,1,3,1,2,7,5,7,5,4,7,2,5,1,1,6,5,5,1,3,7,5,5,1
1342,Male,6,4,2,6,5,4,4,6,5,2,3,2,4,5,4,4,5,3,4,4,6,3,1,7,1,3,1,5,6,1
1343,Female,10,1,2,2,7,3,7,2,1,3,2,6,6,6,3,1,3,6,7,6,5,6,6,4,5,4,6,3,4,0
1344,Female,1,2,4,7,7,3,1,2,6,5,5,4,6,6,2,5,5,5,5,7,7,1,3,5,1,6,4,5,2,0
1345,Male,12,1,1,7,2,4,7,4,3,2,6,1,6,2,1,6,7,3,4,7,4,3,6,2,5,5,2,3,3,0
1346,Female,11,1,4,6,2,3,7,3,3,1,7,5,7,6,2,2,4,3,2,7,2,3,5,2,1,3,2,5,7,0
1347,Female,11,2,4,7,7,5,4,1,1,2,1,4,2,5,6,2,1,7,1,1,2,4,5,4,2,5,3,6,3,0
1348,Male,2,2,5,5,5,4,4,5,7,2,4,1,6,3,4,4,4,1,1,1,2,2,7,3,7,1,7,1,3,1
1349,Male,10,1,7,4,3,5,2,3,6,4,4,5,1,5,3,6,4,2,3,6,4,5,1,2,5,6,4,7,5,1
1350,Male,9,6,6,4,2,5,2,6,1,5,5,1,3,1,6,4,1,5,5,1,6,3,1,4,7,1,5,2,5,1
1351,Male,10,4,5,4,6,4,4,4,5,2,6,1,7,5,2,4,7,5,2,6,7,4,3,5,6,4,3,1,2,1
1352,Female,12,6,4,2,5,1,2,7,6,7,5,7,5,6,1,2,5,7,6,2,6,2,1,3,2,6,2,2,4,1
1353,Male,8,4,4,6,4,7,5,4,7,7,2,1,6,6,6,6,2,2,5,2,4,4,2,3,1,2,4,2,1,1
1354,Female,6,7,2,5,7,7,3,1,6,3,5,5,5,5,4,6,7,6,4,4,3,7,1,5,4,4,7,6,4,0
1355,Male,3,2,2,5,6,1,4,4,3,2,3,5,4,2,7,5,3,7,2,2,7,1,7,5,3,2,2,3,2,0
1356,Male,12,5,1,6,4,1,3,7,3,6,7,4,2,1,7,2,7,5,7,5,5,6,4,2,1,4,4,1,7,0
1357,Female,11,7,2,1,4,6,5,1,5,1,5,4,7,5,1,2,7,1,2,4,5,2,6,1,3,2,4,6,4,0
1358,Male,4,1,2,1,1,3,2,2,2,5,5,7,2,5,1,1,2,4,4,1,1,7,2,5,5,2,6,5,5,1
1359,Female,6,4,1,4,3,6,6,7,3,6,5,7,1,4,6,7,4,7,1,3,3,3,4,7,1,6,1,2,5,0
1360,Female,4,7,7,6,6,5,5,4,1,1,5,2,7,3,5,6,6,5,2,2,7,2,6,4,5,5,7,7,1,0
1361,Male,6,4,5,1,1,7,6,2,2,4,7,3,6,4,5,7,3,6,1,7,2,7,5,2,7,6,7,3,7,1
1362,Male,6,1,6,6,5,5,2,4,2,1,3,3,5,4,6,2,6,5,7,5,6,6,3,6,6,5,3,3,4,1
1363,Female,8,2,3,3,4,7,7,4,7,3,3,3,1,6,7,3,3,2,5,4,5,2,4,2,3,7,6,1,2,0
1364,Male,6,7,5,4,6,5,3,2,7,5,3,1,4,7,4,3,1,1,7,7,2,2,2,1,5,3,6,2,4,1
1365,Male,1,4,4,7,7,2,1,3,6,3,1,7,2,7,6,6,6,3,7,4,1,5,2,7,6,4,7,6,7,1
1366,Male,9,6,4,5,5,2,3,4,4,4,3,3,4,4,7,1,4,5,5,5,6,7,6,5,7,5,5,7,3,1
1367,Female,10,2,1,7,4,7,2,2,5,6,2,2,1,3,4,5,3,3,1,5,5,4,6,2,3,1,2,5,6,0
1368,Male,12,5,6,5,6,5,7,5,7,1,5,5,2,5,2,7,7,3,2,4,7,4,7,3,6,1,1,3,6,1
1369,Female,4,2,7,6,5,1,2,2,1,3,6,5,1,7,4,5,5,6,2,6,1,3,1,2,7,5,4,1,2,0
1370,Female,9,6,4,4,6,7,3,4,4,5,3,7,3,1,4,7,7,5,6,7,6,6,3,4,2,4,4,7,1,0
1371,Male,12,7,4,3,6,2,6,7,4,5,5,6,3,4,6,3,1,6,4,2,6,6,4,5,2,7,3,6,3,1
1372,Male,12,4,7,5,2,1,1,5,4,4,4,7,5,4,3,6,2,3,5,1,6,5,4,2,2,1,7,4,5,1
1373,Male,9,5,3,5,1,2,6,4,1,3,1,3,3,1,1,4,5,1,5,2,6,5,6,3,6,6,4,4,7,1
1374,Male,9,5,3,6,1,4,5,1,7,3,4,6,6,5,7,5,3,7,4,2,6,7,1,2,3,2,4,4,4,1
1375,Male,3,1,1,5,1,2,4,5,7,7,1,6,1,6,7,4,5,2,2,7,7,7,4,7,4,2,4,4,7,1
1376,Female,3,6,7,5,1,7,6,2,1,2,1,3,2,5,2,4,5,4,5,6,7,2,3,1,3,7,1,3,2,0
1377,Male,1,6,7,5,7,3,5,6,1,3,1,6,6,7,4,5,6,6,6,5,3,4,2,4,6,7,2,6,2,1
1378,Female,5,1,1,1,1,2,6,4,6,7,7,5,1,4,6,4,6,3,1,6,3,4,7,2,4,6,6,1,3,0
1379,Female,8,2,7,3,4,3,6,5,3,5,1,2,6,2,7,7,1,4,1,3,6,1,2,3,2,1,7,7,6,0
1380,Male,1,5,2,6,2,5,6,4,7,7,3,1,3,3,5,7,6,3,6,3,5,2,4,5,3,2,2,6,1,0
1381,Male,9,6,7,6,1,2,7,6,2,1,4,5,4,3,7,5,3,5,5,1,7,4,6,7,3,3,4,4,5,1
1382,Male,5,1,4,6,1,7,1,1,5,7,6,2,6,1,4,1,1,6,4,5,2,5,5,4,5,6,4,7,6,0
1383,Female,8,2,5,5,4,3,5,7,6,2,5,3,1,5,7,6,1,5,5,1,5,7,7,5,1,3,1,4,7,0
1384,Female,3,4,3,5,7,5,2,7,1,1,1,5,2,1,6,4,2,4,2,5,2,6,2,3,1,5,4,6,6,0
1385,Female,12,7,4,5,1,7,3,7,6,2,6,6,4,7,2,2,6,3,6,7,2,2,2,1,7,2,3,5,6,0
1386,Male,9,5,5,4,2,2,1,1,6,1,6,6,7,2,5,4,4,3,1,6,1,5,7,3,2,7,4,5,2,0
1387,Male,3,6,3,6,1,5,2,5,6,4,1,4,7,7,4,5,1,4,4,6,5,3,5,7,6,1,3,1,4,1
1388,Female,3,2,6,2,2,7,4,4,1,4,2,2,5,5,1,5,6,4,5,5,4,2,4,2,7,1,3,6,2,0
1389,Female,2,7,7,1,6,6,3,2,2,3,3,6,6,6,6,4,7,2,5,5,3,7,5,4,7,1,7,4,1,1
1390,Male,6,1,3,5,2,6,6,5,1,7,7,7,4,7,6,7,7,7,1,5,7,7,1,2,7,7,3,7,3,0
1391,Male,12,4,7,3,3,6,4,5,2,4,5,6,4,4,2,6,2,6,3,6,6,6,2,4,3,6,3,6,7,1
1392,Male,5,7,7,5,7,4,6,3,3,7,6,7,2,7,4,7,5,6,4,2,7,5,3,2,5,2,6,2,3,1
1393,Female,1,5,5,1,6,3,1,2,5,4,3,7,5,6,1,7,6,7,5,6,2,3,7,4,7,7,1,4,2,0
1394,Male,12,2,2,7,7,3,7,6,7,1,6,1,3,6,6,4,5,1,7,1,7,4,2,5,1,5,1,1,3,1
